,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,O=C(Nc1ccncc1)c1c(Cl)cccc1Cl,11.955336356764928,11.955336356764928,0.27096812799193803,-0.3409259259259254,0.9020023379612274,267.115,259.05099999999993,266.00136823599996,86,0,0.2581963483159426,-0.3217922622690843,0.3217922622690843,0.2581963483159426,1.0588235294117647,1.6470588235294117,2.235294117647059,35.49683535169803,10.174867168784072,2.137080660153459,-2.0729993600576684,2.2455079859301947,-2.125569647143845,6.399126265662333,0.10223783923154367,2.296567849961835,2.2678898090163155,523.2068217496917,12.25071237662706,8.652842716309657,10.164700608346566,8.181540550352056,4.836520269448067,5.592449215466521,3.28667155972533,4.101071813206542,2.1280135094483685,2.7579542977970806,1.343579387707704,1.9126668624068577,-1.5799999999999992,8157.409003064438,11.892374825863712,5.1665314278302255,2.753976974516663,108.39100415831928,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,9.77851570501903,0.0,0.0,0.0,29.268246848926644,24.26546827384644,18.081073417909714,15.608718119179649,4.794537184071822,34.7964457845001,0.0,4.9839785209472085,0.0,0.0,5.316788604006331,58.33424060471384,0.0,0.0,5.316788604006331,5.687386274683562,0.0,23.20187978046503,10.891158250298714,0.0,0.0,10.357988675768818,42.7255224855342,10.045266627482652,0.0,0.0,41.99,0.0,4.794537184071822,0.0,11.470631221048501,15.732652902166215,0.0,0.0,42.7255224855342,0.0,10.30076712495354,23.20187978046503,0.0,11.865974146860388,15.812430363091739,3.3384372637944075,0.9107703451751077,-0.3409259259259254,8.29462144116906,3.1742479213907786,0.0,0.0,0.0,17,1,3,0,0,0,1,1,2,2,1,5,2,0,0,0,2,3.6407000000000007,68.65220000000002,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,O=C(Nc1ccncc1)c1ccccc1,11.682558578987152,11.682558578987152,0.10944444444444401,-0.10944444444444401,0.8042302799124038,198.225,188.14499999999995,198.07931294,74,0,0.2551593316135025,-0.32188510586365005,0.32188510586365005,0.2551593316135025,1.0,1.6666666666666667,2.3333333333333335,16.14913273526462,10.18543345113677,2.0307837741785906,-2.032104981668792,2.064091878725376,-2.108504014295826,6.036233002291715,0.10221001556178146,2.3138192928628576,2.1164219931177755,439.69400298496873,10.510225400620904,8.051614308670455,8.051614308670455,7.360173345306137,4.625222463105507,4.625222463105507,3.056038279111142,3.056038279111142,1.9741669175104963,1.9741669175104963,1.2280381808299214,1.2280381808299214,-2.1599999999999993,4035.3008467528234,9.3971519262254,4.371400189024512,2.4034585195024754,87.78447170455594,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,9.77851570501903,0.0,0.0,0.0,18.19910120538483,24.26546827384644,23.64452490960671,0.0,4.794537184071822,11.594566004035068,0.0,4.9839785209472085,0.0,0.0,5.316788604006331,60.42170811415441,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,10.891158250298714,0.0,0.0,10.357988675768818,54.85825662245742,0.0,0.0,0.0,41.99,0.0,4.794537184071822,0.0,5.907179729351506,5.563451491696996,5.687386274683562,0.0,36.65915541707259,18.19910120538483,10.30076712495354,0.0,0.0,0.0,15.556670760896953,2.779259259259259,1.3964493575207864,-0.10944444444444401,12.598083585285966,3.2789814814814813,0.0,0.0,0.0,15,1,3,0,0,0,1,1,2,2,1,3,2,0,0,0,2,2.3339,58.632200000000026,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,O=C(Nc1ccncc1)c1ccccc1Cl,11.81894746787604,11.81894746787604,0.2251851851851847,-0.2251851851851847,0.8650313700391321,232.67,223.59799999999996,232.040340588,80,0,0.25667461869668756,-0.32183878302629504,0.32183878302629504,0.25667461869668756,1.125,1.8125,2.5,35.495691376124306,10.180123603626559,2.0843638751271873,-2.051782931977751,2.1609516547677043,-2.116892403971796,6.339592913694948,0.10222393684853408,2.3053727909859516,2.1868113457628673,499.38176398410803,11.380468888623982,8.352228512490056,9.108157458508511,7.770856947829096,4.730871366276786,5.108835839286014,3.1698591533823093,3.5770592801229153,2.0566719650653025,2.3862601861053485,1.2790285293265928,1.5005833015234713,-1.8699999999999992,5744.988995136991,10.64127723641199,4.767588659308138,2.3793928507693147,98.0877379314376,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,9.77851570501903,0.0,0.0,0.0,23.733674027155736,24.26546827384644,18.081073417909714,10.586084805438322,4.794537184071822,23.195505894267583,0.0,4.9839785209472085,0.0,0.0,5.316788604006331,59.37797435943413,0.0,0.0,5.316788604006331,5.687386274683562,0.0,11.600939890232516,10.891158250298714,0.0,0.0,10.357988675768818,48.79188955399581,5.022633313741326,0.0,0.0,41.99,0.0,4.794537184071822,0.0,5.907179729351506,16.273471080121883,0.0,0.0,48.79188955399581,0.0,10.30076712495354,11.600939890232516,0.0,5.912153740096861,15.684550561994346,3.1745890022675742,1.153609851347947,-0.2251851851851847,10.351445105820105,3.22661470143613,0.0,0.0,0.0,16,1,3,0,0,0,1,1,2,2,1,4,2,0,0,0,2,2.987300000000001,63.642200000000024,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
