newcompd_22,c1(ccc(cn1)N1CCOCC1=O)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
newcompd_23,c1(ccc(cn1)N1CCC(CC1)O)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
newcompd_24,c1(ccc(cn1)N1CCC(CC1)(F)F)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
newcompd_25,c1(ccc(cn1)C(=O)NCC)Nc1c2c(nc(c3c(cccc3Cl)F)c1)CNC2=O
newcompd_26,c1(ccc(cn1)C(=O)NCC)Nc1c2c(nc(c3c(cccc3C#N)F)c1)CNC2=O
newcompd_27,c1(ccc(cn1)N1CCOCC1)Nc1c2c(nc(c3c(cccc3C#N)F)c1)CNC2=O
newcompd_28,c1(ccc(C(=O)N2CCOCC2)nc1)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
newcompd_29,c1(ccc(C(=O)N2CCOCC2)cc1)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
newcompd_30,c1(ccc(cc1)C(=O)N1CCCC1)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
newcompd_31,c1(ccc(cc1)C(=O)N1C[C@H](CC1)O)Nc1c2c(nc(c3c(cccc3F)F)c1)CNC2=O
deucravacitinib,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
